Year,Month,State,Rate
2015,September,Nevada,6.6
2015,September,New Hampshire,3
2015,September,New Jersey,5.1
2015,September,New Mexico,6.4
2015,September,New York,4.8
2015,September,North Carolina,5.4
2015,September,North Dakota,2.1
2015,September,Ohio,4.3
2015,September,Oklahoma,4.1
2015,September,Oregon,5.2
2015,September,Pennsylvania,4.6
2015,September,Rhode Island,5.1
2015,September,South Carolina,5.7
2015,September,South Dakota,2.7
2015,September,Tennessee,5.5
2015,September,Texas,4.5
2015,September,Utah,3.2
2015,September,Vermont,3.7
2015,September,Virginia,4.1
2015,September,Washington,5.2
2015,September,West Virginia,5.9
2015,September,Wisconsin,4
2015,September,Wyoming,3.7
2015,October,Alabama,5.8
2015,October,Alaska,6.2
2015,October,Arizona,6
2015,October,Arkansas,4.3
2015,October,California,5.8
2015,October,Colorado,3.2
2015,October,Connecticut,5
2015,October,Delaware,4.7
2015,October,District of Columbia,6.7
2015,October,Florida,5.1
2015,October,Georgia,5.6
2015,October,Hawaii,3.4
2015,October,Idaho,3.5
2015,October,Illinois,5.6
2015,October,Indiana,4.3
2015,October,Iowa,3.1
2015,October,Kansas,3.7
2015,October,Kentucky,4.8
2015,October,Louisiana,5.9
2015,October,Maine,3.5
2015,October,Maryland,5
2015,October,Massachusetts,4.5
2015,October,Michigan,4.7
2015,October,Minnesota,3
2015,October,Mississippi,6.2
2015,October,Missouri,4
2015,October,Montana,3.7
2015,October,Nebraska,2.7
2015,October,Nevada,6.3
2015,October,New Hampshire,2.9
2015,October,New Jersey,4.8
2015,October,New Mexico,6.3
2015,October,New York,4.7
2015,October,North Carolina,5.4
2015,October,North Dakota,1.9
2015,October,Ohio,4.3
2015,October,Oklahoma,4.2
2015,October,Oregon,5.3
2015,October,Pennsylvania,4.4
2015,October,Rhode Island,5.1
2015,October,South Carolina,5.6
2015,October,South Dakota,2.5
2015,October,Tennessee,5.3
2015,October,Texas,4.4
2015,October,Utah,3.2
2015,October,Vermont,3
2015,October,Virginia,4
2015,October,Washington,5.3
2015,October,West Virginia,5.6
2015,October,Wisconsin,3.9
2015,October,Wyoming,3.9
2015,November,Alabama,5.7
2015,November,Alaska,6.5
2015,November,Arizona,5.6
2015,November,Arkansas,4.3
2015,November,California,5.8
2015,November,Colorado,3.3
2015,November,Connecticut,5
2015,November,Delaware,4.3
2015,November,District of Columbia,6.6
2015,November,Florida,5
2015,November,Georgia,5.2
2015,November,Hawaii,3.3
2015,November,Idaho,3.9
2015,November,Illinois,5.8
2015,November,Indiana,4.5
2015,November,Iowa,3.1
2015,November,Kansas,3.6
2015,November,Kentucky,5.3
2015,November,Louisiana,5.4
2015,November,Maine,3.9
2015,November,Maryland,4.8
2015,November,Massachusetts,4.5
2015,November,Michigan,4.2
2015,November,Minnesota,3.1
2015,November,Mississippi,6.2
2015,November,Missouri,3.9
2015,November,Montana,4.1
2015,November,Nebraska,2.5
2015,November,Nevada,6.2
2015,November,New Hampshire,3
2015,November,New Jersey,4.5
2015,November,New Mexico,6.3
2015,November,New York,4.8
2015,November,North Carolina,5.4
2015,November,North Dakota,2.3
2015,November,Ohio,4.5
2015,November,Oklahoma,4.1
2015,November,Oregon,5.3
2015,November,Pennsylvania,4.4
2015,November,Rhode Island,5.2
2015,November,South Carolina,5.3
2015,November,South Dakota,2.8
2015,November,Tennessee,5.3
2015,November,Texas,4.4
2015,November,Utah,3
2015,November,Vermont,3.4
2015,November,Virginia,3.9
2015,November,Washington,5.7
2015,November,West Virginia,5.7
2015,November,Wisconsin,4.2
2015,November,Wyoming,4.4
2015,December,Alabama,5.9
2015,December,Alaska,6.7
2015,December,Arizona,5.5
2015,December,Arkansas,4.6
2015,December,California,5.7
2015,December,Colorado,3.3
2015,December,Connecticut,4.9
2015,December,Delaware,4.3
2015,December,District of Columbia,6.3
2015,December,Florida,4.8
2015,December,Georgia,5.1
2015,December,Hawaii,2.9
2015,December,Idaho,3.9
2015,December,Illinois,6
2015,December,Indiana,4.5
2015,December,Iowa,3.6
2015,December,Kansas,3.6
2015,December,Kentucky,5.5
2015,December,Louisiana,5
2015,December,Maine,3.9
2015,December,Maryland,4.7
2015,December,Massachusetts,4.6
2015,December,Michigan,4.5
2015,December,Minnesota,3.7
2015,December,Mississippi,7.1
2015,December,Missouri,3.9
2015,December,Montana,4.3
2015,December,Nebraska,2.9
2015,December,Nevada,6.1
2015,December,New Hampshire,2.9
2015,December,New Jersey,4.3
2015,December,New Mexico,6.2
2015,December,New York,4.7
2015,December,North Carolina,5.3
2015,December,North Dakota,2.8
2015,December,Ohio,4.6
